modul,einheit,zyklus,domaene,kennzahl,wert,art,quelle,hinweis
M302,Macao (China),2025,sci,P75,603.1,OFFICIAL_STATLINK,Figure I.2.1,
M302,Macao (China),2025,sci,P90,649.8,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Macao (China),2025,sci,P90−P10,226.7,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Macao (China),2025,sci,unter Stufe 2 (%),7.9,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Macao (China),2025,sci,Stufe 5–6 (%),14.5,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Macao (China),2022→2025,sci,Veränderung (n. s.),-2.3,OFFICIAL_STATLINK,Table I.2.6,
M302,Macao (China),2022→2025,read,Veränderung (sig.),-9.4,OFFICIAL_STATLINK,Table I.2.6,
M302,Macao (China),2022→2025,math,Veränderung (n. s.),-2.6,OFFICIAL_STATLINK,Table I.2.6,
M302,Macao (China),10 Jahre,sci,Dezennaltrend (sig.),10.4,OFFICIAL_STATLINK,Table I.2.9,
M302,Macao (China),10 Jahre,read,Dezennaltrend (sig.),-11.7,OFFICIAL_STATLINK,Table I.2.9,
M302,Macao (China),10 Jahre,math,Dezennaltrend (n. s.),2.8,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Chinese Taipei,2025,sci,Mittelwert,539.7,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,sci,SE (aus 95-%-KI),3.06,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Chinese Taipei,2025,sci,Rangspanne (alle),3–5,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,read,Mittelwert,507.8,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,read,SE (aus 95-%-KI),3.06,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Chinese Taipei,2025,read,Rangspanne (alle),3–10,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,math,Mittelwert,546.2,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,math,SE (aus 95-%-KI),3.06,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Chinese Taipei,2025,math,Rangspanne (alle),3–4,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,cps,Mittelwert,550.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Chinese Taipei,2025,cps,SE (aus 95-%-KI),2.55,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Chinese Taipei,2025,cps,Rangspanne (alle),4–6,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Chinese Taipei,2025,sci,P10,390.7,OFFICIAL_STATLINK,Figure I.2.1,
M302,Chinese Taipei,2025,sci,P25,467.7,OFFICIAL_STATLINK,Figure I.2.1,
M302,Chinese Taipei,2025,sci,P50,548.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Chinese Taipei,2025,sci,P75,618.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Chinese Taipei,2025,sci,P90,672.0,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Chinese Taipei,2025,sci,P90−P10,281.4,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Chinese Taipei,2025,sci,unter Stufe 2 (%),12.9,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Chinese Taipei,2025,sci,Stufe 5–6 (%),20.1,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Chinese Taipei,2022→2025,sci,Veränderung (n. s.),2.3,OFFICIAL_STATLINK,Table I.2.6,
M302,Chinese Taipei,2022→2025,read,Veränderung (n. s.),-7.4,OFFICIAL_STATLINK,Table I.2.6,
M302,Chinese Taipei,2022→2025,math,Veränderung (n. s.),-0.9,OFFICIAL_STATLINK,Table I.2.6,
M302,Chinese Taipei,10 Jahre,sci,Dezennaltrend (sig.),13.8,OFFICIAL_STATLINK,Table I.2.9,
M302,Chinese Taipei,10 Jahre,read,Dezennaltrend (sig.),13.5,OFFICIAL_STATLINK,Table I.2.9,
M302,Chinese Taipei,10 Jahre,math,Dezennaltrend (n. s.),8.8,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Japan,2025,sci,Mittelwert,537.6,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Japan,2025,sci,SE (aus 95-%-KI),3.83,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Japan,2025,sci,Rangspanne (alle),3–7,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Japan,2025,read,Mittelwert,502.7,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Japan,2025,read,SE (aus 95-%-KI),3.83,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Japan,2025,read,Rangspanne (alle),3–12,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Japan,2025,math,Mittelwert,525.4,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Japan,2025,math,SE (aus 95-%-KI),4.34,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Japan,2025,math,Rangspanne (alle),5–7,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Japan,2025,cps,Mittelwert,557.3,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Japan,2025,cps,SE (aus 95-%-KI),3.32,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Japan,2025,cps,Rangspanne (alle),2–5,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Japan,2025,sci,P10,401.0,OFFICIAL_STATLINK,Figure I.2.1,
M302,Japan,2025,sci,P25,470.7,OFFICIAL_STATLINK,Figure I.2.1,
M302,Japan,2025,sci,P50,544.3,OFFICIAL_STATLINK,Figure I.2.1,
M302,Japan,2025,sci,P75,608.5,OFFICIAL_STATLINK,Figure I.2.1,
M302,Japan,2025,sci,P90,661.4,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Japan,2025,sci,P90−P10,260.4,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Japan,2025,sci,unter Stufe 2 (%),11.3,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Japan,2025,sci,Stufe 5–6 (%),17.2,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Japan,2022→2025,sci,Veränderung (n. s.),-9.0,OFFICIAL_STATLINK,Table I.2.6,
M302,Japan,2022→2025,read,Veränderung (sig.),-13.1,OFFICIAL_STATLINK,Table I.2.6,
M302,Japan,2022→2025,math,Veränderung (n. s.),-10.2,OFFICIAL_STATLINK,Table I.2.6,
M302,Japan,10 Jahre,sci,Dezennaltrend (n. s.),5.3,OFFICIAL_STATLINK,Table I.2.9,
M302,Japan,10 Jahre,read,Dezennaltrend (n. s.),-7.3,OFFICIAL_STATLINK,Table I.2.9,
M302,Japan,10 Jahre,math,Dezennaltrend (n. s.),-3.1,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Estonia,2025,sci,Mittelwert,527.1,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Estonia,2025,sci,SE (aus 95-%-KI),2.3,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Estonia,2025,sci,Rangspanne (alle),5–7,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Estonia,2025,read,Mittelwert,499.2,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Estonia,2025,read,SE (aus 95-%-KI),2.55,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Estonia,2025,read,Rangspanne (alle),3–13,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Estonia,2025,math,Mittelwert,507.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Estonia,2025,math,SE (aus 95-%-KI),2.3,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Estonia,2025,math,Rangspanne (alle),8–9,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Estonia,2025,cps,Mittelwert,540.7,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Estonia,2025,cps,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Estonia,2025,cps,Rangspanne (alle),6–8,OFFICIAL_STATLINK,Table I.2.o3–o6,
